ensembl_id,B cells,Cytotoxic T cells,CD4 T cells,Tfh,other
ENSG00000271503,0,1,0,0,0
ENSG00000177455,1,0,0,0,0
ENSG00000116824,0,1,1,1,0
ENSG00000167286,0,1,1,1,0
ENSG00000198851,0,1,1,1,0
ENSG00000160654,0,1,1,1,0
ENSG00000010610,0,0,1,1,0
ENSG00000019582,1,0,0,0,0
ENSG00000105369,1,0,0,0,0
ENSG00000007312,1,0,0,0,0
ENSG00000153563,0,1,0,0,0
ENSG00000172116,0,1,0,0,0
ENSG00000160683,1,0,0,1,0
ENSG00000163508,0,1,0,0,0
ENSG00000145649,0,1,0,0,0
ENSG00000003147,0,0,0,1,0
ENSG00000163600,0,0,0,1,0
ENSG00000168685,0,0,1,0,0
ENSG00000156738,1,0,0,0,0
ENSG00000105374,0,1,0,0,0
ENSG00000188389,0,0,0,1,0
ENSG00000111728,0,0,0,1,0
ENSG00000186827,0,0,0,1,0
ENSG00000277734,0,1,1,1,0
